Customer_ID,Last_Purchase_Date,First_Purchase_Date,Total_Transactions,Total_Sales,Promo_Usage,Days_Since_First_Purchase,Avg_Basket_Size,Customer_Tenure,Promo_Usage_Rate,Recency,Churn,Frequency,Monetary,Store
0,2015-05-15,2013-01-17,52,0,19,925,0.0,925,0.3653846153846153,77,0,52,0,40
3,2014-04-29,2014-04-29,1,0,1,458,0.0,458,1.0,458,1,1,0,1
5,2013-04-25,2013-04-25,1,0,1,827,0.0,827,1.0,827,1,1,0,1
8,2014-11-22,2014-11-22,1,46,0,251,46.0,251,0.0,251,1,1,46,1
13,2015-01-31,2015-01-31,1,124,0,181,124.0,181,0.0,181,1,1,124,1
18,2013-06-03,2013-06-03,1,133,1,788,133.0,788,1.0,788,1,1,133,1
36,2013-01-19,2013-01-19,1,297,0,923,297.0,923,0.0,923,1,1,297,1
40,2013-03-10,2013-03-10,1,286,0,873,286.0,873,0.0,873,1,1,286,1
44,2013-08-26,2013-08-26,1,316,1,704,316.0,704,1.0,704,1,1,316,1
50,2014-04-20,2014-04-20,1,416,0,467,416.0,467,0.0,467,1,1,416,1
60,2013-02-11,2013-02-11,1,506,0,900,506.0,900,0.0,900,1,1,506,1
61,2013-12-08,2013-12-08,1,680,0,600,680.0,600,0.0,600,1,1,680,1
64,2013-06-08,2013-02-11,2,1157,0,900,578.5,900,0.0,783,1,2,1157,2
67,2015-04-05,2015-04-05,1,649,0,117,649.0,117,0.0,117,1,1,649,1
68,2014-03-21,2014-03-21,1,775,1,497,775.0,497,1.0,497,1,1,775,1
74,2014-04-20,2014-04-20,1,749,0,467,749.0,467,0.0,467,1,1,749,1
75,2015-06-20,2013-03-31,2,1137,0,852,568.5,852,0.0,41,0,2,1137,2
77,2013-03-31,2013-03-31,1,538,0,852,538.0,852,0.0,852,1,1,538,1
78,2015-03-15,2013-02-11,3,1742,0,900,580.6666666666666,900,0.0,138,1,3,1742,3
80,2015-04-05,2015-03-21,2,1447,0,132,723.5,132,0.0,117,1,2,1447,2
81,2013-03-31,2013-03-31,1,699,0,852,699.0,852,0.0,852,1,1,699,1
82,2015-06-27,2015-01-24,4,2758,0,188,689.5,188,0.0,34,0,4,2758,3
83,2014-07-26,2013-02-23,3,1930,0,888,643.3333333333334,888,0.0,370,1,3,1930,1
84,2014-04-20,2014-04-20,1,663,0,467,663.0,467,0.0,467,1,1,663,1
85,2013-06-27,2013-06-27,1,520,0,764,520.0,764,0.0,764,1,1,520,1
86,2014-04-20,2014-04-20,1,600,0,467,600.0,467,0.0,467,1,1,600,1
87,2015-04-25,2015-04-25,1,761,0,97,761.0,97,0.0,97,1,1,761,1
88,2015-02-07,2013-04-27,3,2346,0,825,782.0,825,0.0,174,1,3,2346,2
89,2013-02-11,2013-02-11,1,541,0,900,541.0,900,0.0,900,1,1,541,1
90,2013-08-24,2013-01-19,2,1204,0,923,602.0,923,0.0,706,1,2,1204,1
91,2014-03-22,2013-01-27,3,2004,0,915,668.0,915,0.0,496,1,3,2004,2
92,2015-06-13,2015-06-13,1,702,0,48,702.0,48,0.0,48,0,1,702,1
93,2013-03-10,2013-01-05,3,2050,0,937,683.3333333333334,937,0.0,873,1,3,2050,3
94,2015-04-05,2013-05-18,5,4147,1,804,829.4,804,0.2,117,1,5,4147,3
95,2013-06-15,2013-06-15,1,695,0,776,695.0,776,0.0,776,1,1,695,1
96,2015-04-18,2014-01-04,4,3043,0,573,760.75,573,0.0,104,1,4,3043,2
97,2014-09-13,2013-06-19,3,2982,1,772,994.0,772,0.3333333333333333,321,1,3,2982,3
99,2015-03-14,2013-02-11,9,6559,0,900,728.7777777777778,900,0.0,139,1,9,6559,2
100,2015-06-20,2013-01-26,3,2530,0,916,843.3333333333334,916,0.0,41,0,3,2530,2
101,2015-05-16,2013-12-24,5,4869,1,584,973.8,584,0.2,76,0,5,4869,2
102,2015-01-03,2013-02-16,5,4447,0,895,889.4,895,0.0,209,1,5,4447,3
103,2015-07-25,2013-02-11,6,5163,0,900,860.5,900,0.0,6,0,6,5163,3
104,2015-06-27,2013-01-26,8,6490,0,916,811.25,916,0.0,34,0,8,6490,6
105,2015-04-25,2014-08-23,2,2168,0,342,1084.0,342,0.0,97,1,2,2168,2
106,2015-03-15,2013-03-23,6,5531,0,860,921.8333333333334,860,0.0,138,1,6,5531,3
107,2015-02-28,2013-02-11,4,3116,0,900,779.0,900,0.0,153,1,4,3116,2
108,2014-09-20,2013-06-22,3,2377,0,769,792.3333333333334,769,0.0,314,1,3,2377,1
109,2015-01-17,2013-01-05,8,7554,0,937,944.25,937,0.0,195,1,8,7554,4
110,2015-02-21,2013-02-09,7,6357,0,902,908.1428571428572,902,0.0,160,1,7,6357,2
111,2014-09-06,2013-01-26,7,6777,0,916,968.1428571428572,916,0.0,328,1,7,6777,6
112,2015-07-18,2013-01-12,9,9709,0,930,1078.7777777777778,930,0.0,13,0,9,9709,5
113,2014-09-27,2013-01-07,6,6356,2,935,1059.3333333333333,935,0.3333333333333333,307,1,6,6356,6
114,2015-05-09,2013-01-26,11,10461,0,916,951.0,916,0.0,83,0,11,10461,4
115,2015-04-11,2013-02-11,19,19720,0,900,1037.8947368421052,900,0.0,111,1,19,19720,9
116,2015-03-14,2013-01-05,8,8463,0,937,1057.875,937,0.0,139,1,8,8463,7
117,2015-07-11,2014-09-06,4,4215,0,328,1053.75,328,0.0,20,0,4,4215,4
118,2015-04-25,2013-01-19,4,4343,0,923,1085.75,923,0.0,97,1,4,4343,3
119,2015-07-25,2013-02-11,11,11617,0,900,1056.090909090909,900,0.0,6,0,11,11617,6
120,2015-02-07,2013-01-05,10,11244,0,937,1124.4,937,0.0,174,1,10,11244,6
121,2015-06-27,2013-01-05,17,18281,1,937,1075.3529411764705,937,0.0588235294117647,34,0,17,18281,8
