Store,Total_Sales,Total_Customers,Total_Open_Days,Avg_Daily_Sales,Avg_Customers,Promo_Days,Sales_per_Customer,Promo_Usage_Rate,Sales_Rank,Best_Assortment,Best_StoreType,Customer_Productivity,Store_Performance_Index
1,3716854,440523,781,4759.096030729834,564.0499359795134,350,8.437366493917457,0.44814340588988477,900,0,2,4759.096030729834,2132.7575041682994
2,3883858,457855,784,4953.900510204082,583.9987244897959,354,8.482724880147645,0.45153061224489793,854,0,0,4953.900510204082,2236.837730372761
3,5408261,584310,779,6942.568677792041,750.0770218228498,350,9.255807704814226,0.4492939666238768,449,0,0,6942.568677792041,3119.2542198038695
4,7556507,1036254,784,9638.401785714286,1321.7525510204082,353,7.292137834932362,0.4502551020408163,101,2,2,9638.401785714286,4339.739579537172
5,3642818,418588,779,4676.274711168165,537.3401797175867,351,8.702633615870498,0.45057766367137353,923,0,0,4676.274711168165,2107.0249340436785
6,4297758,495483,780,5509.946153846154,635.2346153846154,352,8.673875793922294,0.4512820512820513,738,0,0,5509.946153846154,2486.539802761341
7,6930202,745569,786,8817.050890585242,948.5610687022901,354,9.295185288014926,0.45038167938931295,163,2,0,8817.050890585242,3971.038187362819
8,4342857,516027,784,5539.3584183673465,658.1977040816327,353,8.415949165450645,0.4502551020408163,721,0,0,5539.3584183673465,2494.1243899026445
9,5112061,451677,779,6562.337612323492,579.8164313222079,350,11.317957301345873,0.4492939666238768,527,2,0,6562.337612323492,2948.418696165882
10,4365642,465661,784,5568.4209183673465,593.9553571428571,353,9.37515059238373,0.4502551020408163,715,0,0,5568.4209183673465,2507.2099288057057
11,6296286,885992,784,8030.977040816327,1130.091836734694,353,7.106481774101797,0.4502551020408163,248,2,0,8030.977040816327,3615.988387000208
12,5950245,703211,784,7589.598214285715,896.952806122449,353,8.461535726830212,0.4502551020408163,303,2,0,7589.598214285715,3417.255318422012
13,3126578,237740,621,5034.747181964573,382.8341384863124,274,13.151249263901741,0.44122383252818037,1026,0,3,5034.747181964573,2221.450447436865
14,4291174,491913,779,5508.567394094994,631.4672657252888,350,8.723440933661033,0.4492939666238768,743,0,0,5508.567394094994,2474.966094907892
15,5231510,520107,784,6672.844387755102,663.4017857142857,353,10.058526418602327,0.4502551020408163,492,2,3,6672.844387755102,3004.4822307111617
16,5967891,662375,777,7680.683397683398,852.4774774774775,348,9.009837327797698,0.44787644787644787,299,2,0,7680.683397683398,3439.9971974180467
17,4954488,619090,782,6335.6624040920715,791.6751918158568,353,8.00285580448723,0.4514066496163683,562,0,0,6335.6624040920715,2859.960138931587
18,5130137,557785,782,6560.277493606138,713.2800511508951,353,9.197337683874611,0.4514066496163683,520,2,3,6560.277493606138,2961.3528839424125
19,5036169,486618,779,6464.915275994866,624.6700898587933,350,10.349327398493275,0.4492939666238768,548,2,0,6464.915275994866,2904.647428239028
20,4801543,525258,619,7756.9353796445885,848.5589660743134,271,9.141303892563274,0.4378029079159935,606,0,3,7756.9353796445885,3396.008865724852
21,4259763,401213,777,5482.320463320463,516.3616473616473,348,10.61721080822406,0.44787644787644787,747,2,2,5482.320463320463,2455.402215232331
22,2801506,312129,619,4525.857835218094,504.2471728594507,273,8.975474883782026,0.4410339256865913,1074,0,0,4525.857835218094,1996.0568481656537
23,4300299,375818,779,5520.281129653402,482.43645699614893,350,11.442504084423843,0.4492939666238768,737,0,3,5520.281129653402,2480.229005620912
24,7313475,650800,779,9388.28626444159,835.4300385109115,350,11.237669022741242,0.4492939666238768,125,2,0,9388.28626444159,4218.100375551421
25,8376557,1177772,752,11139.038563829787,1566.186170212766,338,7.112205927802664,0.449468085106383,58,0,2,11139.038563829787,5006.642333210729
26,5217266,434849,782,6671.695652173913,556.0728900255755,353,11.99787972376618,0.4514066496163683,499,0,3,6671.695652173913,3011.6477816079173
27,7383809,837237,779,9478.57381258023,1074.7586649550706,350,8.819257868441074,0.4492939666238768,116,0,0,9478.57381258023,4258.666026191375
28,4080950,448196,771,5293.060959792478,581.3177691309987,349,9.105279832930236,0.45265888456549935,801,0,0,5293.060959792478,2395.9510699968546
29,5737160,509233,779,7364.775353016688,653.7008985879332,350,11.266276930206802,0.4492939666238768,341,2,3,7364.775353016688,3308.94913165063
30,4114046,603828,777,5294.782496782497,777.1274131274131,348,6.813274641122969,0.44787644787644787,784,0,0,5294.782496782497,2371.4083769373347
31,4596143,459464,784,5862.427295918367,586.0510204081633,353,10.003271202966936,0.4502551020408163,664,2,3,5862.427295918367,2639.587800330591
32,2526117,296333,621,4067.8212560386473,477.1867954911433,274,8.524588891551058,0.44122383252818037,1096,0,0,4067.8212560386473,1794.8196846289684
33,6572158,651485,779,8436.659820282413,836.3093709884467,350,10.087965187226107,0.4492939666238768,211,2,0,8436.659820282413,3790.540355710969
34,6296685,778872,784,8031.485969387755,993.4591836734694,353,8.084364311465812,0.4502551020408163,247,0,2,8031.485969387755,3616.217534686068
35,7558693,568401,779,9703.071887034659,729.6546854942234,350,13.298169778026429,0.4492939666238768,100,2,3,9703.071887034659,4359.531656562427
36,5824183,678178,622,9363.638263665594,1090.3183279742766,274,8.587985750053821,0.4405144694533762,326,2,0,9363.638263665594,4124.818141871982
37,5549053,609251,780,7114.170512820513,781.0910256410257,351,9.107991615934976,0.45,396,0,2,7114.170512820513,3201.376730769231
38,4677617,417034,779,6004.643132220795,535.3453145057766,350,11.21639242843509,0.4492939666238768,637,0,3,6004.643132220795,2697.849931036301
39,3780153,490471,779,4852.571245186136,629.6161745827984,350,7.707189619773646,0.4492939666238768,884,0,0,4852.571245186136,2180.230983074644
40,3804215,515125,776,4902.3389175257735,663.8208762886597,348,7.385032759039068,0.4484536082474227,877,0,0,4902.3389175257735,2198.4715764161974
41,3318407,247531,622,5335.059485530546,397.959807073955,274,13.406025911905983,0.4405144694533762,999,2,3,5335.059485530546,2350.1708987706907
42,7928768,856938,779,10178.136071887035,1100.0487804878048,350,9.252440666652664,0.4492939666238768,84,2,0,10178.136071887035,4572.975128575689
43,5315050,475314,779,6822.9139922978175,610.1591784338896,350,11.182186933269376,0.4492939666238768,473,0,3,6822.9139922978175,3065.4940915330376
44,4295144,501806,784,5478.5,640.0586734693877,353,8.559371549961538,0.4502551020408163,740,0,0,5478.5,2466.722576530612
45,4166458,323582,779,5348.469833119384,415.38125802310657,350,12.876049965696485,0.4492939666238768,771,0,3,5348.469833119384,2403.0352266903524
46,3329125,410832,622,5352.290996784566,660.5016077170418,274,8.103373154963586,0.4405144694533762,996,0,2,5352.290996784566,2357.761628808635
47,5601760,721790,784,7145.102040816327,920.6505102040817,353,7.760927693650507,0.4502551020408163,386,2,0,7145.102040816327,3217.1186484798
48,3085014,336519,784,3934.966836734694,429.2334183673469,353,9.167428882173072,0.4502551020408163,1034,0,0,3934.966836734694,1771.738894601208
49,5675296,413137,777,7304.113256113256,531.7078507078508,348,13.737079951686729,0.44787644787644787,360,2,3,7304.113256113256,3271.340300035281
50,3315479,279505,779,4256.070603337613,358.7997432605905,350,11.861966691114649,0.4492939666238768,1001,0,3,4256.070603337613,1912.2268436048325
51,4152028,309126,622,6675.286173633441,496.9871382636656,274,13.431506893629136,0.4405144694533762,779,2,0,6675.286173633441,2940.5601472275926
